DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2022.11.17	02:45:00	1773.62	1774.09	1772.96	1773.56	826	0	6
2022.11.17	03:00:00	1773.56	1774.56	1773.03	1774.47	1383	0	6
2022.11.17	03:15:00	1774.49	1774.85	1772.42	1772.57	1016	0	10
2022.11.17	03:30:00	1772.50	1773.37	1772.10	1772.10	1060	0	10
2022.11.17	03:45:00	1772.10	1772.17	1769.26	1769.84	1540	0	10
2022.11.17	04:00:00	1769.84	1769.96	1768.04	1768.75	1349	0	10
2022.11.17	04:15:00	1768.76	1768.85	1766.70	1767.24	1054	0	10
2022.11.17	04:30:00	1767.25	1768.77	1767.16	1767.92	1033	0	10
2022.11.17	04:45:00	1767.80	1768.41	1766.35	1767.49	886	0	10
2022.11.17	05:00:00	1767.39	1767.54	1764.66	1764.83	1265	0	10
2022.11.17	05:15:00	1764.81	1765.01	1762.94	1763.83	1299	0	10
2022.11.17	05:30:00	1763.84	1763.95	1763.10	1763.23	714	0	10
2022.11.17	05:45:00	1763.20	1764.11	1763.16	1763.89	731	0	10
2022.11.17	06:00:00	1763.95	1764.12	1762.69	1763.00	840	0	10
2022.11.17	06:15:00	1763.01	1763.85	1762.61	1762.92	785	0	10
2022.11.17	06:30:00	1762.92	1763.33	1762.34	1762.57	735	0	10
2022.11.17	06:45:00	1762.58	1763.16	1762.02	1762.37	607	0	10
2022.11.17	07:00:00	1762.37	1762.62	1761.43	1762.06	837	0	10
2022.11.17	07:15:00	1762.05	1763.59	1761.89	1763.18	1122	0	10
2022.11.17	07:30:00	1763.18	1764.08	1762.78	1763.51	1314	0	10
2022.11.17	07:45:00	1763.50	1763.72	1762.73	1763.10	1058	0	10
2022.11.17	08:00:00	1763.08	1764.79	1762.92	1764.71	1172	0	10
2022.11.17	08:15:00	1764.72	1765.65	1764.59	1765.22	1131	0	10
2022.11.17	08:30:00	1765.23	1765.52	1764.60	1765.14	798	0	10
2022.11.17	08:45:00	1765.12	1768.35	1765.10	1768.03	1337	0	10
2022.11.17	09:00:00	1768.06	1768.12	1765.34	1766.27	1595	0	10
2022.11.17	09:15:00	1766.27	1766.88	1765.76	1766.19	1422	0	10
2022.11.17	09:30:00	1766.20	1769.05	1766.13	1767.92	1877	0	10
2022.11.17	09:45:00	1767.93	1768.06	1765.45	1767.01	1919	0	10
2022.11.17	10:00:00	1767.00	1769.33	1766.98	1768.11	2885	0	10
2022.11.17	10:15:00	1768.10	1770.99	1768.10	1769.51	2818	0	10
2022.11.17	10:30:00	1769.52	1770.54	1768.34	1768.34	2328	0	10
2022.11.17	10:45:00	1768.38	1768.86	1767.02	1767.05	2243	0	10
2022.11.17	11:00:00	1767.07	1768.02	1766.48	1767.55	2220	0	10
2022.11.17	11:15:00	1767.55	1768.50	1766.78	1766.79	1732	0	10
2022.11.17	11:30:00	1766.76	1766.76	1763.44	1764.77	2441	0	10
2022.11.17	11:45:00	1764.82	1766.59	1764.21	1765.50	1813	0	10
2022.11.17	12:00:00	1765.50	1766.03	1763.36	1764.45	1725	0	10
2022.11.17	12:15:00	1764.45	1765.58	1764.35	1765.24	1478	0	10
2022.11.17	12:30:00	1765.22	1765.24	1762.52	1763.91	1417	0	10
2022.11.17	12:45:00	1763.91	1764.22	1761.70	1762.60	2059	0	10
2022.11.17	13:00:00	1762.60	1764.11	1762.19	1762.23	1887	0	10
2022.11.17	13:15:00	1762.22	1763.15	1761.49	1762.74	1604	0	10
2022.11.17	13:30:00	1762.74	1764.63	1761.98	1763.31	2288	0	10
2022.11.17	13:45:00	1763.36	1765.79	1763.18	1765.57	2417	0	10
2022.11.17	14:00:00	1765.58	1766.62	1764.58	1765.90	2115	0	10
2022.11.17	14:15:00	1765.97	1767.67	1764.44	1764.86	2372	0	10
2022.11.17	14:30:00	1764.84	1765.44	1762.62	1762.93	2260	0	10
2022.11.17	14:45:00	1762.93	1764.29	1761.20	1764.25	2502	0	10
2022.11.17	15:00:00	1764.25	1764.64	1756.70	1759.82	4598	0	10
2022.11.17	15:15:00	1759.78	1763.73	1757.89	1762.90	3447	0	10
2022.11.17	15:30:00	1762.90	1766.08	1758.55	1760.25	4325	0	10
2022.11.17	15:45:00	1760.24	1760.97	1756.36	1756.59	3911	0	10
2022.11.17	16:00:00	1756.57	1757.52	1754.48	1756.78	3488	0	10
2022.11.17	16:15:00	1756.75	1760.06	1756.72	1759.83	2816	0	10
2022.11.17	16:30:00	1759.78	1760.83	1758.48	1759.88	4292	0	10
2022.11.17	16:45:00	1759.88	1761.23	1758.64	1759.79	3397	0	10
2022.11.17	17:00:00	1759.77	1761.01	1758.55	1760.00	2990	0	10
2022.11.17	17:15:00	1759.99	1762.92	1759.68	1762.36	2722	0	10
2022.11.17	17:30:00	1762.36	1762.36	1758.32	1759.38	2902	0	10
2022.11.17	17:45:00	1759.33	1760.44	1758.29	1760.25	3349	0	10
2022.11.17	18:00:00	1760.25	1760.44	1758.51	1759.75	2328	0	10
